date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:35	25/25	---M--	200	added ('OK')	text/plain	date:Sun,%2014%20Sep%202025%2016:17:35%20GMT	https://microsoft-365-setup-guide-staging.b12sites.com/robots.txt		(from )
21:47:36	337108/337108	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Sep%202025%2016:17:35%20GMT	https://microsoft-365-setup-guide-staging.b12sites.com/	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/index.html	(from )
21:47:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:38%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-400.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-400.1.delayed	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:39%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-400.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:38	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:39%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-400.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:39	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1538f%22	https://code.jquery.com/jquery-3.3.1.min.js	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/code.jquery.com/jquery-3.3.1.min.js	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:39%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-500.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:39	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:40%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-500.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:40%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-500.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:41%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-600.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:41%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-ext-normal-600.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:42%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-latin-normal-600.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
21:47:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2014%20Sep%202025%2016:17:42%20GMT	http://microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	C:/My%20Web%20Sites/Microsoft%20AI%20Pages/microsoft-365-setup-guide-staging.b12sites.com/assets/fonts/poppins-devanagari-normal-700.woff2	(from https://microsoft-365-setup-guide-staging.b12sites.com/)
